WellName,Formation Class,Latitude_BH,Longitude_BH,TVD_FT,TopOfZone_FT,BottomOfZone_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,TotalOrganicCarbon_WTPCT
W5282,A,31.95616251,-103.848786,10976,10602.09406,11018.85367,415.130626,79.141733,2.54213,829.802036,0.085733,0.06829,2.462317
W5283,A,31.75276098,-103.8306294,10843,10453.78413,10936.35261,415.144024,88.960618,2.516271,174.577233,0.10466,0.083074,3.068638
W5284,A,31.7530263,-103.8327847,11092,10453.78413,10936.35261,415.144024,88.960618,2.516271,174.577233,0.10466,0.083074,3.068638
W5285,A,31.9564515,-103.916278,10284,10179.0339,10616.00814,415.153012,80.224811,2.543509,535.850662,0.092117,0.063176,2.509298
W5286,A,31.95634663,-103.9136418,10468,10179.0339,10616.00814,415.153012,80.224811,2.543509,535.850662,0.092117,0.063176,2.509298
W5287,A,31.95639505,-103.9150318,10486,10179.0339,10616.00814,415.153012,80.224811,2.543509,535.850662,0.092117,0.063176,2.509298
W5288,A,31.95640427,-103.917546,10500,10179.0339,10616.00814,415.153012,80.224811,2.543509,535.850662,0.092117,0.063176,2.509298
W5289,A,31.85452379,-103.7718054,10920,10923.3454,11339.27993,415.166809,80.309078,2.519909,182.070314,0.090302,0.074852,2.518099
W5290,A,31.85464479,-103.7744092,11046,10923.3454,11339.27993,415.166809,80.309078,2.519909,182.070314,0.090302,0.074852,2.518099
W5291,A,31.75264669,-103.8445367,10268,10414.97696,10887.79903,415.213324,88.733139,2.513103,178.030709,0.10596,0.084196,3.085605
W5292,A,32.106719,-103.563464,12323,12288.73071,12728.50187,415.277491,70.958552,2.570106,180.784762,0.081759,0.060006,2.162747
W5293,A,31.75259421,-103.8363623,10673,10433.73207,10912.17705,415.277786,88.849037,2.514655,176.217348,0.105296,0.083627,3.076569
W5294,A,31.942921,-103.92095,10360,10103.5932,10543.02214,415.294598,80.094046,2.546417,645.466939,0.087033,0.064679,2.505762
W5295,A,31.9561535,-103.8431214,10885,10642.18021,11058.8266,415.51811,79.09414,2.542124,793.26822,0.085803,0.068606,2.462954
W5296,A,31.95614558,-103.8464747,10885,10642.18021,11058.8266,415.51811,79.09414,2.542124,793.26822,0.085803,0.068606,2.462954
W5297,A,31.95615296,-103.8440941,11019,10642.18021,11058.8266,415.51811,79.09414,2.542124,793.26822,0.085803,0.068606,2.462954
W5298,A,31.65041222,-103.9542278,10020,10040.46981,10451.87667,415.581165,85.014987,2.568539,95.096173,0.083153,0.067182,2.616906
W5299,A,31.184066,-103.392008,10718,10651.54628,11036.03578,415.587262,85.672447,2.528511,51.214001,0.105196,0.077625,2.833925
W5300,A,31.810353,-103.911874,10080,9933.088702,10341.69669,415.598415,86.7645,2.518592,210.008786,0.101323,0.08353,2.825148
W5301,A,32.130207,-103.541695,12436,12364.53162,12790.14285,415.64598,71.454324,2.555957,154.860112,0.090003,0.061839,2.063022
W5302,A,32.09488482,-103.542848,12493,12364.53162,12790.14285,415.64598,71.454324,2.555957,154.860112,0.090003,0.061839,2.063022
W5303,A,32.09482702,-103.5447564,12536,12364.53162,12790.14285,415.64598,71.454324,2.555957,154.860112,0.090003,0.061839,2.063022
W5304,A,31.92756324,-103.675153,11684.57,11551.91206,11982.89978,415.657193,80.76654,2.567794,73.156143,0.080182,0.065944,2.39748
W5305,A,31.92758557,-103.6735105,11758.73,11551.91206,11982.89978,415.657193,80.76654,2.567794,73.156143,0.080182,0.065944,2.39748
W5306,A,32.12123,-103.559124,12398,12304.22394,12744.48715,415.696683,71.019446,2.567472,177.892629,0.083288,0.059985,2.133461
W5307,A,31.679475,-103.846451,10821,10432.52611,10838.13072,415.716288,87.984642,2.55448,177.599075,0.090183,0.071009,2.846231
W5308,A,31.56387262,-103.5906668,11076,10963.64027,11341.4337,415.728955,86.313485,2.512201,48.917505,0.113116,0.076718,2.806995
W5309,A,31.56455567,-103.5880785,11079,10963.64027,11341.4337,415.728955,86.313485,2.512201,48.917505,0.113116,0.076718,2.806995
W5310,A,32.13695,-103.598608,12344,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5311,A,,,12353,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5312,A,32.136947,-103.595536,12373,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5313,A,32.136949,-103.598956,12514,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5314,A,32.13695,-103.599189,12554,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5315,A,32.13695,-103.597561,12568,12321.21787,12681.44839,415.780788,70.729789,2.590111,176.735161,0.070097,0.060269,2.280077
W5316,A,31.95661251,-103.6486202,11836,11742.08879,12158.09234,415.795173,80.987253,2.581421,125.328383,0.074926,0.06025,2.293719
W5317,B,32.05031896,-103.6101355,9153,8862.38808,9263.050702,415.800008,96.120052,2.529051,835.998546,0.105819,0.077547,3.120786
W5318,B,32.05029122,-103.6082412,9154,8862.38808,9263.050702,415.800008,96.120052,2.529051,835.998546,0.105819,0.077547,3.120786
W5319,B,32.05001684,-103.6083882,9161,8862.38808,9263.050702,415.800008,96.120052,2.529051,835.998546,0.105819,0.077547,3.120786
W5320,A,31.751342,-103.499282,11464,11446.50796,11846.23861,415.811183,86.403005,2.514411,2.559167,0.114532,0.094469,3.123394
W5321,A,32.22082934,-104.0662462,10636,10724.95407,11157.00267,415.911692,94.72067,2.600523,30.98894,0.064042,0.048076,2.490508
W5322,A,31.67996454,-103.8606396,10479,10353.03232,10759.43354,415.979616,88.252322,2.547463,194.633542,0.093628,0.074149,2.888013
W5323,A,31.92507329,-103.4730611,12768,12583.87331,12972.04908,416.048168,83.318344,2.53663,118.865127,0.099214,0.079482,2.924218
W5324,A,31.724377,-103.825934,10667,10490.21206,10929.20772,416.096746,88.958931,2.535999,211.409706,0.09972,0.078282,3.056462
W5325,A,31.8400711,-103.8893051,10401,10118.58504,10507.86822,416.124948,80.871858,2.512494,369.169245,0.095872,0.078442,2.693014
W5326,A,31.868582,-103.955947,9958,9713.04253,10100.08624,416.154908,82.224909,2.543548,319.645976,0.088915,0.071485,2.646486
W5327,A,32.21103,-103.998397,10844,10692.58703,11113.04503,416.168388,72.065283,2.549804,148.305647,0.093696,0.067131,2.011006
W5328,B,32.02254357,-103.6078938,9132,8868.08245,9268.41889,416.188652,98.328206,2.524763,806.041267,0.108324,0.078449,3.168397
W5329,B,32.02249955,-103.6125278,9146,8868.08245,9268.41889,416.188652,98.328206,2.524763,806.041267,0.108324,0.078449,3.168397
W5330,B,32.02224071,-103.6101391,9160,8868.08245,9268.41889,416.188652,98.328206,2.524763,806.041267,0.108324,0.078449,3.168397
W5331,A,31.95599174,-103.8400852,10830,10681.70298,11098.5096,416.210582,79.041517,2.542134,753.639359,0.085909,0.068914,2.463965
W5332,A,31.95595631,-103.8409014,10891,10681.70298,11098.5096,416.210582,79.041517,2.542134,753.639359,0.085909,0.068914,2.463965
W5333,A,31.95605849,-103.8390179,10930,10681.70298,11098.5096,416.210582,79.041517,2.542134,753.639359,0.085909,0.068914,2.463965
W5334,A,31.95602079,-103.8400511,11045,10681.70298,11098.5096,416.210582,79.041517,2.542134,753.639359,0.085909,0.068914,2.463965
W5335,A,31.86953569,-103.8651172,10380,10315.40978,10727.53676,416.216619,77.962003,2.515307,494.792294,0.091568,0.075025,2.564307
W5336,A,31.86905973,-103.8631791,10396,10315.40978,10727.53676,416.216619,77.962003,2.515307,494.792294,0.091568,0.075025,2.564307
