WellName,OilGravityAPI,GasGravity,SolutionGasOilRatio,InitialReservoirPressure,ReservoirTemperature,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Coi(Vazquez-Beggs)
A647,50.1,0.78,3799.999604,8204.25,183.5455627,3.521151393,3.294347005,0.000503413,1.009338726,2.49E-05,4.68E-05,2.27E-06,1.70E-05,2.49E-05
A648,43.77238464,0.807278395,1895.784912,7899.125977,184.3598175,2.157047651,2.052677674,0.000514447,1.010391872,1.37E-05,4.88E-05,2.30E-06,1.12E-05,1.37E-05
A649,46.398,0.78,2338.65066,8457.839844,185.4545288,2.443349231,2.306088019,0.000498875,1.009325263,1.55E-05,4.48E-05,2.27E-06,1.31E-05,1.55E-05
A650,46.2,0.8,3193.499843,8564.96582,179.0290375,3.068721187,2.86873904,0.000494695,1.00698113,2.01E-05,4.27E-05,2.23E-06,1.60E-05,2.01E-05
A651,50,0.76,1628.806597,8884.536133,180.9611053,1.965297142,1.860590861,0.000484639,1.006794685,1.08E-05,4.16E-05,2.22E-06,1.14E-05,1.08E-05
A652,41.80557251,0.816515207,3325.03125,8788.848633,179.0121307,3.160087903,2.952543285,0.000492272,1.006424866,2.03E-05,4.04E-05,2.22E-06,1.55E-05,2.03E-05
A653,41.80557251,0.816515207,1461.489502,8880.246094,180.8737183,1.871078373,1.781503852,0.000491408,1.006766808,9.62E-06,3.98E-05,2.22E-06,1.07E-05,9.63E-06
A654,41.80557251,0.816515207,3665.300537,8796.81543,179.1743774,3.413903216,3.181088043,0.00049217,1.006451327,2.22E-05,4.04E-05,2.22E-06,1.65E-05,2.22E-05
A655,45.4,0.78,4028.573218,9614.236328,187.1653748,3.658673475,3.364846414,0.000461461,1.006967582,2.27E-05,4.00E-05,2.20E-06,1.71E-05,2.24E-05
A656,45,0.8,3524.83858,9329.853516,189.0901642,3.315032716,3.069338143,0.000485715,1.00829437,2.04E-05,3.78E-05,2.22E-06,1.42E-05,2.04E-05
A657,52.7,0.78,4874.135498,6248.056641,177.073761,4.376908302,4.3028232,0.00055853,1.012265122,4.12E-05,7.16E-05,2.38E-06,2.90E-05,4.12E-05
A658,47.46583939,0.790600181,2550.999512,7933.691406,184.0508575,2.606014384,2.463330006,0.000511425,1.010189233,1.78E-05,4.90E-05,2.29E-06,1.63E-05,1.78E-05
A659,46.4,0.78,2695.964811,8811.5625,181.7011871,2.687877181,2.521054196,0.000488794,1.007206527,1.68E-05,4.16E-05,2.23E-06,1.58E-05,1.68E-05
A660,47.33123398,0.791248441,7604.875,8596.654297,179.7358398,6.620912995,6.068762832,0.000493446,1.007130747,4.58E-05,4.28E-05,2.23E-06,3.46E-05,4.58E-05
A661,47.33123398,0.791248441,6981.146973,8606.270508,179.9369049,6.085879583,5.588178736,0.000493361,1.007169717,4.21E-05,4.27E-05,2.23E-06,3.22E-05,4.21E-05
A662,47.33123398,0.791248441,5661.081543,8604.173828,179.8930664,4.984205597,4.598474765,0.000493334,1.007155745,3.44E-05,4.27E-05,2.23E-06,2.72E-05,3.44E-05
A663,49.4,0.78,3084.442342,7579.037598,183.8812256,2.984842172,2.827419236,0.000519701,1.011053673,2.23E-05,5.32E-05,2.32E-06,1.65E-05,2.22E-05
A664,51.06265259,0.775068998,4273.274414,7522.458008,182.5084839,3.881241434,3.677195587,0.000519618,1.010734338,3.03E-05,5.39E-05,2.32E-06,2.06E-05,3.03E-05
A665,51.06265259,0.775068998,4273.274414,7691.629883,186.612915,3.885215585,3.670174215,0.000517896,1.011641784,2.97E-05,5.23E-05,2.32E-06,2.12E-05,2.97E-05
A666,51.06265259,0.775068998,4259.742676,7518.077637,182.4022217,3.87066124,3.667829259,0.000519821,1.010725376,3.03E-05,5.40E-05,2.32E-06,2.15E-05,3.02E-05
A667,48,0.78,3569.231148,9207.735352,188.1875,3.336085728,3.08997005,0.000485237,1.008325355,2.10E-05,3.92E-05,2.23E-06,1.65E-05,2.10E-05
A668,45,0.8,3485.700066,9085.743164,185.6942291,3.282692211,3.048728353,0.000488392,1.007815427,2.07E-05,3.93E-05,2.23E-06,1.20E-05,2.07E-05
A669,45,0.8,4517.515601,9471.672852,186.4949951,4.071588668,3.728367398,0.000481657,1.007099288,2.53E-05,3.67E-05,2.20E-06,1.40E-05,2.53E-05
A670,41.6570549,0.817263484,1518.422119,6909.549316,178.2740631,1.905386288,1.832896349,0.000539195,1.010952084,1.27E-05,5.91E-05,2.34E-06,1.22E-05,1.27E-05
A671,48.5,0.78,3485.831492,7175.109863,167.9654999,3.258931485,3.105325281,0.000519594,1.007005479,2.59E-05,5.63E-05,2.29E-06,1.79E-05,2.59E-05
A672,51,0.78,3986.352189,8090.942383,178.9138794,3.666176503,3.427974372,0.000502921,1.008127323,2.63E-05,4.74E-05,2.26E-06,1.85E-05,2.63E-05
A673,50.34874344,0.778134406,4031.571045,6274.51123,163.3724823,3.676790534,3.578354793,0.000545655,1.00786195,3.39E-05,6.90E-05,2.33E-06,2.50E-05,3.39E-05
A674,47.1,0.78,3338.406486,9240.3125,188.2119293,3.159229877,2.933314584,0.000484393,1.008232967,1.97E-05,3.89E-05,2.23E-06,1.56E-05,1.97E-05
A675,46.6388588,0.794409215,3442.929199,8999.711914,183.3112335,3.251522908,3.019441784,0.0004877,1.007246906,2.06E-05,3.99E-05,2.22E-06,1.16E-05,2.07E-05
A676,52.1,0.78,3310.935178,9135.254883,185.0259399,3.169889104,2.930216518,0.000484518,1.007473911,1.98E-05,3.95E-05,2.22E-06,1.56E-05,1.97E-05
A677,48.2,0.78,2985.172705,9672.917969,192.4211273,2.913419433,2.69962744,0.000478474,1.008538404,1.71E-05,3.65E-05,2.22E-06,1.43E-05,1.70E-05
A678,48.2,0.8,3695.791496,9165.717773,187.4410095,3.466754378,3.198999129,0.000487923,1.008182246,2.18E-05,3.88E-05,2.23E-06,1.69E-05,2.17E-05
A679,47.6,0.78,3164.669293,9017.378906,184.4074402,3.032283302,2.824262117,0.000486562,1.007574894,1.91E-05,4.03E-05,2.23E-06,1.15E-05,1.91E-05
A680,49.5,0.78,6015.813336,9245.506836,189.9135895,5.280540865,4.800845337,0.000485557,1.008790251,3.42E-05,3.90E-05,2.23E-06,1.60E-05,3.42E-05
A681,45.236,0.74,4476.3,10297,134.42,3.858107126,3.500509878,0.000433003,0.989964594,2.23E-05,3.04E-05,1.97E-06,1.88E-05,2.23E-05
A682,45,0.8,6884.418999,7602.658203,175.268631,5.992534713,5.698017242,0.000514886,1.008207243,4.69E-05,5.12E-05,2.28E-06,2.75E-05,4.69E-05
A683,46.5,0.833,3495,6952.393066,192.8059998,3.360843827,3.210704726,0.000550144,1.015628381,2.73E-05,5.94E-05,2.40E-06,2.16E-05,2.73E-05
A684,47.7,0.78,4063.546353,7193.376953,184.9557037,3.702891435,3.550078199,0.000531552,1.012382831,3.02E-05,5.79E-05,2.35E-06,2.28E-05,3.02E-05
A685,49.33,0.78,3290.070759,6790.259766,180.7410431,3.131947477,3.007858863,0.000541227,1.012034911,2.62E-05,6.29E-05,2.36E-06,2.12E-05,2.63E-05
A686,44.268,0.798,1965.839427,9729.347656,184.098877,2.197934022,2.066682893,0.000475628,1.005705726,1.15E-05,3.51E-05,2.18E-06,1.16E-05,1.15E-05
A687,43.48,0.874,2261.518491,9414.870117,178.1483459,2.461387042,2.299442029,0.000488471,1.004585433,1.32E-05,3.43E-05,2.17E-06,1.03E-05,1.32E-05
A688,52.35322189,0.769625187,4300.022949,6684.426758,173.2527313,3.892994739,3.757995677,0.00053817,1.009908314,3.41E-05,6.42E-05,2.34E-06,2.67E-05,3.41E-05
A689,49.7,0.8,4192.301952,6534.689453,181.5605927,3.857100331,3.733896639,0.000552751,1.012975208,3.42E-05,6.59E-05,2.38E-06,2.68E-05,3.42E-05
A690,40.5,0.8,1951.335809,10298.41113,181.6194916,2.173792472,2.044780428,0.000465604,1.003512052,1.07E-05,3.18E-05,2.13E-06,1.20E-05,1.07E-05
A691,44.6,0.8,2223.943177,10417.64844,183.7223206,2.375190475,2.215487289,0.000464972,1.003884803,1.20E-05,3.13E-05,2.13E-06,1.01E-05,1.20E-05
A692,47,0.78,5165.391538,8797.008789,179.5861664,4.54893798,4.200921622,0.000487877,1.006582068,3.09E-05,4.16E-05,2.22E-06,2.57E-05,3.09E-05
A693,47.8,0.78,3008.635683,8401.890625,180.9318695,2.917514796,2.738114508,0.000497067,1.007990687,1.95E-05,4.48E-05,2.25E-06,1.80E-05,1.95E-05
A694,45.90759277,0.797295213,2743.262207,8229.046875,177.2097473,2.735765914,2.57654407,0.000500706,1.00725781,1.82E-05,4.55E-05,2.25E-06,1.33E-05,1.82E-05
A695,45.90759277,0.797295213,2621.330078,8499.336914,183.0303497,2.654416294,2.496003336,0.000498427,1.008438521,1.70E-05,4.36E-05,2.25E-06,1.63E-05,1.70E-05
A696,46.6,0.78,2798.737784,7685.947754,178.5061951,2.758563491,2.61765512,0.000512901,1.009035222,1.99E-05,5.15E-05,2.29E-06,1.52E-05,1.99E-05
A697,46.5,0.78,2895.91493,7846.437012,179.9282532,2.828226076,2.678223882,0.000509739,1.009085002,2.02E-05,5.00E-05,2.28E-06,1.55E-05,2.01E-05
A698,45.9,0.78,2264.563385,8747.435547,203.2675476,2.405938846,2.269019292,0.000504333,1.014558866,1.49E-05,4.35E-05,2.33E-06,1.45E-05,1.49E-05
A699,50.2,0.78,6181.44636,8872.411133,195.0810242,5.433008684,4.984712711,0.00049614,1.01144072,3.67E-05,4.20E-05,2.28E-06,2.20E-05,3.67E-05
A700,45.7,0.788,2409,10229.34473,183.3675537,2.495026638,2.322765818,0.000466025,1.004238183,1.31E-05,3.25E-05,2.14E-06,1.11E-05,1.31E-05
A701,46.9,0.78,2034.552941,10627.49121,188.3053741,2.242066771,2.094319682,0.000461848,1.004840368,1.10E-05,3.09E-05,2.14E-06,1.09E-05,1.10E-05
A702,47.8,0.78,2165.699249,10355.66016,183.4889069,2.329856868,2.173073408,0.000463106,1.003957641,1.18E-05,3.21E-05,2.13E-06,9.83E-06,1.18E-05
